,kind,etag,id,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic
0,youtube#commentThread,03VuidbRRj3TvNtY173Za1-F2ck,UgxwT9_eqZPrGJWmaHR4AaABAg,fAhDCLQAfmQ,youtube#comment,btF_ef6eDODyxVoUuwt3L7XXrdw,UgxwT9_eqZPrGJWmaHR4AaABAg,fAhDCLQAfmQ,"Все це було б дуже смішно ,    якби не було б так сумно!  І страшно....","Все це було б дуже смішно ,    якби не було б так сумно!  І страшно....",Okul Olga,https://yt3.ggpht.com/ytc/AMLnZu9vu4xgJICDGUP8w2sA6u6Ga1IM2fk0uCMcnA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCcs_XePzZz5wnfJCTfdFlgA,UCcs_XePzZz5wnfJCTfdFlgA,True,none,0,2022-10-03T05:46:31Z,2022-10-03T05:47:09Z,True,0,True
1,youtube#commentThread,e_a0yFtaYO19f1RyK6SgZ2U_gpk,UgzFhSCmZaXMPd_JlVV4AaABAg,fAhDCLQAfmQ,youtube#comment,lfRXP4pbXxGbh5EvgyEYc_2ok7Q,UgzFhSCmZaXMPd_JlVV4AaABAg,fAhDCLQAfmQ,"Повністю підтримую  ведучу,відносно титулів ,,заслужених. ..  та ,,народних,,,Ці поняття повинні бути відмінені в Україні!","Повністю підтримую  ведучу,відносно титулів ,,заслужених. ..  та ,,народних,,,Ці поняття повинні бути відмінені в Україні!",Okul Olga,https://yt3.ggpht.com/ytc/AMLnZu9vu4xgJICDGUP8w2sA6u6Ga1IM2fk0uCMcnA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCcs_XePzZz5wnfJCTfdFlgA,UCcs_XePzZz5wnfJCTfdFlgA,True,none,0,2022-10-03T05:40:49Z,2022-10-03T05:40:49Z,True,0,True
2,youtube#commentThread,uMZ8gGVKCJQGZ-XlWMoLIg_GdUA,Ugz6sa6qnC8Ri44o5VF4AaABAg,fAhDCLQAfmQ,youtube#comment,TyXWzWeJtQiEMMnkuXhdZLsUKjk,Ugz6sa6qnC8Ri44o5VF4AaABAg,fAhDCLQAfmQ,Чудове відео)))),Чудове відео)))),Роман Shmuel,https://yt3.ggpht.com/ytc/AMLnZu9f0N3m01YlX00UfWsRy5ycFF7SUGwcPETFig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuesZ5ezvLQOzEBhx93uzYg,UCuesZ5ezvLQOzEBhx93uzYg,True,none,1,2022-10-02T18:50:48Z,2022-10-02T18:50:48Z,True,0,True
3,youtube#commentThread,V80tLh4yaFML0NzyfMFdPC8Kz5A,UgwgoaBtcJjZYDwgJL94AaABAg,fAhDCLQAfmQ,youtube#comment,RG2XQmO2mp1BA8OjCTitM9It8G8,UgwgoaBtcJjZYDwgJL94AaABAg,fAhDCLQAfmQ,"Боже, яке щастя, що я ніколи до цього часу не бачила ні Єви Браун ні Петлін. Петлін - то наче ретро-порно.","Боже, яке щастя, що я ніколи до цього часу не бачила ні Єви Браун ні Петлін. Петлін - то наче ретро-порно.",i s,https://yt3.ggpht.com/ytc/AMLnZu_uRee_UCRCfNZmABR2ZW1rpFRxnMiIUHUz=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6WTFUroUVh_PO8KHcFRpmg,UC6WTFUroUVh_PO8KHcFRpmg,True,none,0,2022-10-02T15:54:02Z,2022-10-02T15:54:02Z,True,0,True
4,youtube#commentThread,h1SwjMCB9dsugJPtordMbgyIBHY,Ugy4e9aub5GGWl71LfV4AaABAg,fAhDCLQAfmQ,youtube#comment,zsUV2X5J5bMvn9iXuxiJ7mTahNU,Ugy4e9aub5GGWl71LfV4AaABAg,fAhDCLQAfmQ,Ты чупакабра на хера всех обсираешь,Ты чупакабра на хера всех обсираешь,Ирина Остапова,https://yt3.ggpht.com/GbYiS7k7v5p6ZAnMg-o8dyBL11cxqnaksGOmNyA3LGWHLabJTReNaPWfZrb5qxg6wh6amTX34Xs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCtkFT5pWQUdqUkg1po8d0Rg,UCtkFT5pWQUdqUkg1po8d0Rg,True,none,0,2022-09-30T13:50:49Z,2022-09-30T13:50:49Z,True,0,True
5,youtube#commentThread,EJX6s8qxiileej1ivGumCqCFREA,UgztxiOqKpqunmaTUo14AaABAg,fAhDCLQAfmQ,youtube#comment,M8xK-Ar6CZhfeTyhTGjT8iktLJE,UgztxiOqKpqunmaTUo14AaABAg,fAhDCLQAfmQ,дякую!,дякую!,Наталія Гаган,https://yt3.ggpht.com/ytc/AMLnZu-RLUW37dZl41KJlOPKH2NXYq4Hwjp2H-n77g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCBMyw1fVu__R-SEuDX7PS-g,UCBMyw1fVu__R-SEuDX7PS-g,True,none,0,2022-09-29T08:58:59Z,2022-09-29T08:58:59Z,True,0,True
6,youtube#commentThread,JsT2HUxNMn9hmRMKXWWNI825hwY,UgyGMxfk14pY1Gk5Ztx4AaABAg,fAhDCLQAfmQ,youtube#comment,s7FaSsKRcX2Ddv6qfCINQTvm8iU,UgyGMxfk14pY1Gk5Ztx4AaABAg,fAhDCLQAfmQ,"Таня, ти дуже робиш круту роботу","Таня, ти дуже робиш круту роботу",Ірина Кулібаба,https://yt3.ggpht.com/ytc/AMLnZu_Ku3Jg01n95-lJ3s_KclU3CcNWfOI0hInzZA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbimTX7Lqv5BIQ2YNMIgs7A,UCbimTX7Lqv5BIQ2YNMIgs7A,True,none,0,2022-09-28T10:00:39Z,2022-09-28T10:00:39Z,True,0,True
7,youtube#commentThread,fnbZk6Sh4_dLluyqHwpgfmA-IXU,UgyHow88OhFmaIWXm7B4AaABAg,fAhDCLQAfmQ,youtube#comment,aOkA_tNIyCb_aCX64G9m0VWM8Ok,UgyHow88OhFmaIWXm7B4AaABAg,fAhDCLQAfmQ,Взагалі не пом&#39;ятаю ці пісні з Україна =Юля.,Взагалі не пом'ятаю ці пісні з Україна =Юля.,Nataliya Umanskaya,https://yt3.ggpht.com/ytc/AMLnZu-1KwSuTfe1nbBP4-FjbkkkEMbqcaPJETUO-PJKCQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSP95qMYfM1uxt6C40Yd9uQ,UCSP95qMYfM1uxt6C40Yd9uQ,True,none,0,2022-09-25T17:15:21Z,2022-09-25T17:15:21Z,True,0,True
8,youtube#commentThread,PoQc9S4vuMvrp-iMwXhm1So3Z-g,Ugz1yRXp0kD5jgMWS4p4AaABAg,fAhDCLQAfmQ,youtube#comment,qRPOVykww_suA2SQwL1WHSMR360,Ugz1yRXp0kD5jgMWS4p4AaABAg,fAhDCLQAfmQ,🎉🎉🎉 рада новим випускам,🎉🎉🎉 рада новим випускам,O тетя Мотя,https://yt3.ggpht.com/ytc/AMLnZu-JU0AtVVhFBi1GtgIkdJpUNZzu8yUkt6JzHA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCco0TiQmVDqEteinCoJSLQ,UCCco0TiQmVDqEteinCoJSLQ,True,none,0,2022-09-24T12:22:17Z,2022-09-24T12:22:17Z,True,0,True
9,youtube#commentThread,kR4eaW2-cY1Zj_3gHONhTpS3owo,UgxP4vRf8liyggkH26B4AaABAg,fAhDCLQAfmQ,youtube#comment,IdBF2eZDNb28Kl9jPr5GDUp_Cgo,UgxP4vRf8liyggkH26B4AaABAg,fAhDCLQAfmQ,"Це апокаліптично... И соромно. Воно і тоді виглядало гидотно, а з сьогодення... Дякую. Натхнення вам","Це апокаліптично... И соромно. Воно і тоді виглядало гидотно, а з сьогодення... Дякую. Натхнення вам",Oksana Polischuk,https://yt3.ggpht.com/ytc/AMLnZu8vWWeYiWC3at_EW3Ne13txAdeeGtkXr1kDH12fiQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIUbQUW-8NCorlUXrjG-jYw,UCIUbQUW-8NCorlUXrjG-jYw,True,none,0,2022-09-21T10:41:43Z,2022-09-21T10:41:43Z,True,0,True
