,videoId,textOriginal,authorDisplayName,likeCount,publishedAt
0,UgxogVOCOoD4rrBHzQt4AaABAg,ycV6bF_er3c,"Курча в ""домике в клеточке"" це ж алегорія на русского в росії.",fantasypatten,2022-10-04T20:29:59Z
1,UgytqrwEy0a4KJMPoDp4AaABAg,ycV6bF_er3c,"А виховательниця Петрика файна діва, на побачення з залюбки пішов 🙂",ZenGleR,2022-10-04T20:12:23Z
2,UgwAZXr_5HepiLwq6414AaABAg,ycV6bF_er3c,Таня жгьот! 🫶👏☺️👍,Iryna,2022-10-04T20:12:15Z
3,UgwgvYzDr0w_P4dQ0wJ4AaABAg,ycV6bF_er3c,"Шикарно!!!
російська мова
це дебільна недорозвинута
Про це я дізнався
нприкінці 70- х
і дуже випадково,
порівнюючі словоутворення в
англійській та
російській мовах",aleks zub,2022-10-04T20:09:36Z
4,Ugw97VNB9N1x7Bj95Pt4AaABAg,ycV6bF_er3c,Дякую за чудовий аналіз улюблених в дитинстві мультиків . Дійсно разюча різниця . А я раніше цього не помічала.,Natalia,2022-10-04T20:00:16Z
5,Ugyzmvl1-_lXSJW2Rdx4AaABAg,ycV6bF_er3c,"Крінж. Я по перше не знала що переклад існує, а по друге що він настільки огидний. Спаплюжили один із улюблених мультиків дитинства своєю ""адаптацією"".",Katerina Morozova,2022-10-04T19:50:08Z
6,Ugz7k99-_hLRxpp9v8x4AaABAg,ycV6bF_er3c,"Що Ви мені не доводьте, до прикладу, але вовк, в українському мультику, з фразою:"" О, якийсь укірукук пішов"", неперевершений і не перекладеться ні на яку мову =)",Dmitry Bulay,2022-10-04T19:47:18Z
7,UgxUEpCsZ1rFRD04wC54AaABAg,ycV6bF_er3c,"Спасибі велике за Вашу працю,шановна п.Тетяно !Може не в тему,але згадалося - турецький серіал про Роксолану могла дивитись тільки в українському перекладі, в російському - не могла дослухати до кінця навіть одну фразу.",Ирина 1111,2022-10-04T19:43:16Z
8,UgznomVJPjEmo5ZXZ8p4AaABAg,ycV6bF_er3c,"Кожен раз як неможу заснути, згадую П'яточкіна і пісеньку "" якщо ти неможеш спать, треба їх порахувать""🥰
А в Капітошці такі гарні голоса. Дуже люблю ці мультики👍👍👍",Тетяна ,2022-10-04T19:42:35Z
9,UgzjRpuFz2uNdje7Z754AaABAg,ycV6bF_er3c,дякую 😀😃😄,Олег Лисецкий,2022-10-04T19:20:10Z
